"i","Receiver","From","Justification","Gift","Disposition","Value_USD","Date","country"
"495","President Barack Obama","His Excellency Hamid Karzai, President of the Islamic Republic of Afghanistan.","Non-acceptance would cause embarrassment to donor and U.S. Government.","312″ 117″ burgundy and red carpet with intricate patterns and cream-colored fringe","Archives Foreign.","2000","2010-03-28","Afghanistan"
"496","President Barack Obama","His Excellency Nicolas Sarkozy and Mrs. Carla Bruni-Sarkozy, President and First Lady of the French Republic.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Three bottles of 1961 Chateau Bages wine. Two 9″ 13″ leather folders with facsimile letters of credece presented by Benjamin Franklin to Louis XVI, King of France, in 1778 and facsimile letters from Benjamin Franklin to Charles Gravier De Vergennes, dated 1781","Archives Foreign; Perishable Items Handled Pursuant to U.S. Secret Service Policy.","2150","2010-03-30","France"
"497","President Barack Obama","His Excellency Dmitry Medvedev, President of the Russian Federation.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Two 4″ Imperial porcelain painted eggs with porcelain bases, presented in yellow presentation boxes. Book, title: ‘‘An Attempt at Pictorial Account of Trip Across North America’’","Archives Foreign.","2080","2010-04-08","Russia"
"498","President Barack Obama","His Excellency Vaclav Klaus, President of the Czech Republic.","Non-acceptance would cause embarrassment to donor and U.S. Government.","14″ hand-blown Moser glass plate with 24-carat gold border","Archives Foreign.","1100","2010-04-08","Czech Republic"
"499","President Barack Obama","His Excellency Goodluck Ebele Azikiwe Jonathan, Vice President of the Federal Republic of Nigeria.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Chris Aire gold cufflinks with centered citrine gemstone bordered by band of diamonds","Archives Foreign.","8315","2010-04-11","Niger"
"500","President Barack Obama","His Excellency Lee Hsien Loong, Prime Minister of the Republic of Singapore.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Creative Aurvana Live! black headphones. Creative pocket video camera. Creative noise cancelling earbud headphones","Archives Foreign.","380","2010-04-12","Singapore"
"501","President Barack Obama","Her Excellency Doris Leuthard, President of the Swiss Confederation.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Longines silver-colored watch with brown band, presented in brown presentation box. Red leather dog collar and leash with silver-colored fastenings","Archives Foreign.","2604","2010-04-14","Switzerland"
"502","President Barack Obama","His Excellency Hu Jintao, President of the People’s Republic of China.","Non-acceptance would cause embarrassment to donor and U.S. Government.","12.5″ Jun purple and gray porcelain vase with round wooden base, in wooden presentation box","Archives Foreign.","400","2010-04-14","Republic of China"
"503","President Barack Obama","His Excellency Nursultan Nazarbayev, President of the Republic of Kazakhstan","Non-acceptance would cause embarrassment to donor and U.S. Government.","9.5″ bowl made of silver, jasper, kahalong, and fianit, in green and tan presentation box","Archives Foreign.","3200","2010-04-14","Kazakhstan"
"504","President Barack Obama","His Majesty King Abdullah II ibn Al Hussein, King of th Hashemite Kingdom of Jordan.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Three 13″ glass vases with gold-colored stripes and wooden toppers, in black presentation boxes","Archives Foreign.","2670","2010-04-22","Jordan"
"505","President Barack Obama","His Excellency Yousef Raza Gilani, Prime Minister of the Islamic Republic of Pakistan.","Non-acceptance would cause embarrassment to donor and U.S. Government.","8″ 5″ sterling silver bowl, presented in green presentation box","Archives Foreign.","440","2010-04-23","Pakistan"
"506","President Barack Obama","The Honorable Ivan Knez, Mayor of Biograd of Croatia.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Gena black three-piece suit","Archives Foreign.","510","2010-04-26","Croatia"
"507","President Barack Obama","Her Excellency Inonge Mbikusita-Lewanika, Ambassador of the Republic Zambia to the United States.","Non-acceptance would cause embarrassment to donor and U.S. Government.","37″ 29″ copper fire screen of an eagle, made by Gastone craftsmen","Archives Foreign.","484","2010-04-28","Zambia"
"508","President Barack Obama","Her Excellency Tarja Halonen, President of the Republic of Finland.","Non-acceptance would cause embarrassment to donor and U.S. Government.","9.5″ blue glass bird, hand-blown by Iittala craftsmen","Archives Foreign.","445","2010-05-04","Finland"
"509","President Barack Obama","His Excellency Serzh Sargsian, President of the Republic of Armenia.","Non-acceptance would cause embarrassment to donor and U.S. Government.","16″ 16″ walnut chessboard with walnut and sterling silver chess pieces, presented in wooden presentation box. Book, title: ‘‘He Flies Through the Air with the Greatest of Ease.’’ 9.5″ dark green bust of author William Saroyan on brown stone base with inscription, presented in wooden presentation box. Bottle of 100 year old Ararat brandy, presented in wooden presentation box","Archives Foreign; Perishable items handled pursuant to U.S. Secret Service policy.","2985","2010-05-04","Armenia"
"510","President Barack Obama","His Excellency Hamid Karzai, President of the Islamic Republic of Afghanistan.","Non-acceptance would cause embarrassment to donor and U.S. Government.","80″ 148″ brown and blue patterned rug","Archives Foreign.","2000","2010-05-12","Afghanistan"
"511","President Barack Obama","His Excellency Saad Hariri, Prime Minister of the Republic of Lebanon.","Non-acceptance would cause embarrassment to donor and U.S. Government.","32.25″ 24.5″ watercolor of Arabic calligraphy by artist Samir Sayegh. Book, title: ‘‘Memoirs of Letters’’","Archives Foreign.","4520","2010-05-24","Lebanon"
"512","President Barack Obama","His Excellency Alan Perez, President of the Republic of Peru.","Non-acceptance would cause embarrassment to donor and U.S. Government.","54″ 12″ Kuna vicuna-brown scarf, presented in wooden presentation case with silver label","Archives Foreign.","584","2010-06-01","Peru"
"513","President Barack Obama","The Right Honorable Stephen Harper, P.C., M.P., Prime Minister of Canada.","Non-acceptance would cause embarrassment to donor and U.S. Government.","17″ sugar maple-wood bowl signed by Don Thur. 24″ 16″ handcrafted glass tree in green frame","Archives Foreign.","1000","2010-06-25","Canada"
"514","President Barack Obama","His Excellency Mrs. Seng Soukhathivong and Mrs. Somdy Soukhathivong, Ambassador of the Lao People’s Democratic Republic to the United Statea and Spouse.","Non-acceptance would cause embarrassment to donor and U.S. Government.","20.75″ 32″ framed silver-colored metal panel with an etching depicting city in Laos","Archives Foreign.","350","2010-06-28","Laos"
"515","President Barack Obama","King Abdullah bin Abd al-Aziz Al Saud, Custodian of the Two Holy Mosques, King of the Kingdom of Saudi Arabia.","Non-acceptance would cause embarrassment to donor and U.S. Government.","18.5″ clock with gold-colored horse and two palm trees on green and silver-colored marble base, in green presentation box","Archives Foreign.","500","2010-06-28","United Arab Emirates"
"516","President Barack Obama","King Abdullah bin Abd al-Aziz Al Saud, Custodian of the Two Holy Mosques, King of the Kingdom of Saudi Arabia.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Three Bijan silk tie sets with matching handkerchiefs in silk presentation boxes. Five Brioni silk tie sets with matching handkerchiefs in red presentation boxes. Black Brioni silk tie in red presentation box. Stefano Ricci silk tie in red and black presentation box. Blue and pink Stefano Ricci silk tie with matching handkerchief in red and black presentation box. Five silk ties with matching handkerchiefs in white presentation boxes. Two striped Eddia silk ties in pink presentation boxes. Blue Francesco Smalto silk tie in pink presentation box. Blue Lanvin silk tie with matching handkerchief in blue presentation box. 20″ 14″ 8″ gray briefcase","Archives Foreign.","5255","2010-06-29","United Arab Emirates"
"517","President Barack Obama","The Government of the People’s Republic of China.","Non-acceptance would cause embarrassment to donor and U.S. Government.","11″ 9″ ‘‘Expo 2010 Shanghai China’’ blue vase with floral pattern and image of the Shanghai skyline, in presentation box. 10″ 8.5″ framed ‘‘Expo 2010 Shanghai China, Colorful China Pavilion Pin Set’’","Archives Foreign.","629","2010-07-04","Republic of China"
"518","President Barack Obama","His Excellency Binyamin Netanyahu, Prime Minister of the State of Israel.","Non-acceptance would cause embarrassment to donor and U.S. Government.","16″ 10.5″ deluxe edition of hardcover book, title: ‘‘Great is Peace’’","Archives Foreign.","780","2010-09-01","Israel"
"519","President Barack Obama","His Majesty King Abdullah II ibn Al Hussein, King of the Hashemite Kingdom of Jordan.","Non-acceptance would cause embarrassment to donor and U.S. Government.","11″ 6.5″ silver jewelry box with red and black mosaic on top. Book, title: ‘‘The Mosaics of Jordan’’","Archives Foreign.","400","2010-09-01","Jordan"
"520","President Barack Obama","His Excellency Asif Ali Zardari, President of the Is lamic Republic of Pakistan.","Non-acceptance would cause embarrassment to donor and U.S. Government.","26″ 32.5″ framed portrait of President Barack Obama","Archives Foreign.","1200","2010-09-03","Pakistan"
"521","President Barack Obama","Dr. Laila Takla, Chair of the International Affairs Committee at the Egyptian Council of Human Rights.","Non-acceptance would cause embarrassment to donor and U.S. Government.","4.5″ 3.5″ Bible in Arabic with metallic cross on cover. Book, title: ‘‘Our Common Christian-Islamic Heritage.’’ 16″ 16″ white tote bag","Archives Foreign.","356","2010-09-18","Egypt"
"522","President Barack Obama","His Excellency Abdullah Gül, President of the Republic of Turkey.","Non-acceptance would cause embarrassment to donor and U.S. Government.","9.5″ sterling silver Tombac Ottoman Collection portable writing set with pen and ink case. 11″ 5″ 24-carat gold plated Tombac Ottoman Collection bowl","Archives Foreign.","1360","2010-09-22","Turkey"
